slug,old_category,new_category,title
"admissions-for-postgraduate-courses-for-session-july-2024-05-15-2024","circular","admission","Admissions for Postgraduate Courses for Session July 2024"
"rosult-of-first-professional-dpt-first-semester-re-sit-examination-session-2022-2023-05-11-2024","circular","examination","Rosult of First Professional DPT, First Semester Re-Sit Examination Session 2022-2023"
"admission-for-certification-in-health-professions-education-c-hpe-session-2024-batch-05-05-03-2024","circular","admission","Admission for Certification in Health Professions Education (C-HPE) Session 2024 Batch-05"
"result-of-bsgeneric-year-i-semester-i-regular-examination-of-smbbmu-and-its-affiliated-colleges-03-02-2024","circular","examination","Result of BS(Generic) Year-I, Semester-I Regular Examination of SMBBMU and its affiliated colleges"
"result-of-result-of-first-professional-dpt-first-semester-regular-examination-session-2022-2023-01-31-2024","circular","examination","Result of Result of First Professional DPT, First Semester Regular Examination Session 2022-2023"
"result-of-bs-post-rn-year-i-semester-i-regular-examination-session-2022-23-01-29-2024","circular","examination","Result of BS (POST-RN) Year-I, Semester-I Regular Examination Session 2022-23"
"result-of-postgraduate-degree-clinical-examination-march-2023-held-in-the-month-of-january-2024-01-25-2024","circular","examination","Result of Postgraduate Degree (Clinical) Examination March 2023 held in the month of January 2024"
"date-extension-for-notice-for-expression-of-interest-for-cafeteria-mess-services-on-rental-basis-01-19-2024","tender","circular","Date Extension for Notice for Expression of Interest for Cafeteria /Mess Services on Rental Basis"""
"result-of-bs-generic-year-i-semester-ii-regular-examination-session-2021-22-01-12-2024","circular","examination","Result of BS (GENERIC) Year-I, Semester-II Regular Examination Session 2021-22"
"result-of-bs-post-rn-year-i-semester-il-regular-examination-session-2021-22-01-12-2024","circular","examination","Result of BS (POST-RN) Year-I, Semester-Il Regular Examination Session 2021-22"
"result-of-second-professional-dpt-fourth-semester-regular-examination-session-2020-2021-of-institute-of-physiotherapy-rehabilitation-sciences-irs-smbbmu-larkana-moomal-institute-of-physiotherapy-allied-health-sciences-hyderabad-01-06-2024","circular","examination","Result of Second Professional DPT, Fourth Semester Regular Examination Session 2020-2021 of Institute of Physiotherapy & Rehabilitation Sciences (IRS). SMBBMU Larkana & Moomal Institute of  Physiotherapy & Allied Health Sciences Hyderabad"
"result-of-third-professional-dpt-sixth-semester-regular-examination-session-2019-2020-of-institute-of-physiotherapy-rehabilitation-sciences-irs-smbbmu-larkana-held-in-the-month-of-november-2023-01-06-2024","circular","examination","Result of Third Professional DPT, Sixth Semester Regular Examination Session 2019-2020 of Institute of Physiotherapy & Rehabilitation Sciences (IRS), SMBBMU Larkana, held in the month of November 2023"
"result-of-first-professional-dpt-second-semester-regular-examination-session-2021-2022-of-institute-of-physiotherapy-rehabilitation-sciences-irs-smbbmu-larkana-moomal-institute-of-physiotherapy-allied-health-sciences-hyderabad-and-shaaf-institute-01-06-20","circular","examination","Result of First Professional DPT, Second Semester Regular Examination Session 2021-2022 of Institute of Physiotherapy & Rehabilitation Sciences (IRS), SMBBMU Larkana, Moomal Institute of Physiotherapy & Allied Health Sciences Hyderabad and Shaaf Institute"
"notice-for-expression-of-interest-for-cafeteria-mess-services-on-rental-basis-01-04-2024","tender","circular","Notice for Expression of Interest for Cafeteria / Mess Services on Rental Basis"
"result-of-postgraduate-degree-theory-examination-march-2023-held-in-the-month-of-november-2023-01-01-2024","circular","examination","Result of Postgraduate Degree (Theory) Examination March, 2023 held in the month of November, 2023."
"time-table-for-clinical-examination-of-diploma-in-ophthalmalogy-12-30-2023","circular","examination","Time Table for Clinical Examination of Diploma in Ophthalmalogy"
"result-of-diploma-in-medical-radio-diagnosis-dmrd-part-1-held-in-month-of-december-2023-12-26-2023","circular","examination","Result of Diploma in Medical Radio-Diagnosis (DMRD) Part-1 held in month of December 2023."
